Cooperative_Name,Country,Region,Established_Year,Number_Of_Members,Total_Area_Hectares,Certifications,Annual_Production_Tons,Primary_Market
Cooperative_Yirgacheffe,Ethiopia,Yirgacheffe,1975,2500,3200,Fair_Trade/Organic,450,Export
Guji_Cooperative,Ethiopia,Sidamo,1982,1800,2400,Rainforest_Alliance,380,Export
Cooperative_Huila,Colombia,Huila,1958,3500,5600,Fair_Trade/Organic/Rainforest_Alliance,890,Export/Domestic
Cooperative_Antioquia,Colombia,Antioquia,1960,4200,6800,Fair_Trade,1050,Export
Cooperative_Narino,Colombia,Narino,1965,2800,4200,Organic/Fair_Trade,720,Export
Cooperative_LamDong,Vietnam,Lam_Dong,1990,5000,8500,UTZ,1200,Domestic/Export
Cooperative_DakLak,Vietnam,Dak_Lak,1988,6500,12000,None,1800,Domestic/Export
Cooperative_Nyeri,Kenya,Nyeri,1952,1200,1800,Fair_Trade/Organic,280,Export
COOPETARRAZU,Costa_Rica,Tarrazu,1960,800,1200,Rainforest_Alliance/Fair_Trade,210,Export
Cooperative_Antigua,Guatemala,Antigua,1969,1500,2200,Organic/Rainforest_Alliance,420,Export
COMSA,Honduras,Copan,1992,2200,3500,Fair_Trade/Organic,580,Export
Cooperative_Villa_Rica,Peru,Cajamarca,1970,1800,2800,Fair_Trade/Organic,490,Export
PRODECOOP,Nicaragua,Jinotega,1993,2300,3800,Fair_Trade/Organic,520,Export
Cooperative_Huye,Rwanda,Western_Province,2001,3200,2400,Fair_Trade/Organic/Rainforest_Alliance,310,Export
KNCU,Tanzania,Kilimanjaro,1932,1400,2100,Fair_Trade,350,Export
