Country_Name,Continent,Coffee_Production_Rank,Annual_Production_Tons,Primary_Variety,Growing_Regions,Harvest_Season,Export_Percentage,Quality_Grade
Ethiopia,Africa,5,469000,Arabica_Heirloom,Yirgacheffe/Sidamo/Harrar,Oct-Jan,45,Specialty
Colombia,South_America,3,810000,Caturra/Castillo,Huila/Antioquia/Narino,Apr-Jun_Oct-Dec,95,Specialty
Brazil,South_America,1,3558000,Bourbon/Mundo_Novo,Minas_Gerais/Sao_Paulo,May-Sep,75,Commercial/Specialty
Vietnam,Asia,2,1650000,Robusta,Central_Highlands/Lam_Dong,Nov-Apr,90,Commercial
Kenya,Africa,6,51000,SL28/SL34,Nyeri/Kiambu/Kirinyaga,Oct-Dec,95,Specialty
Costa_Rica,Central_America,13,90000,Caturra/Catuai,Tarrazu/West_Valley/Central_Valley,Nov-Mar,85,Specialty
Guatemala,Central_America,10,204000,Bourbon/Typica/Caturra,Antigua/Huehuetenango/Atitlan,Dec-Mar,90,Specialty
Indonesia,Asia,4,660000,Robusta/Arabica,Sumatra/Java/Sulawesi,May-Sep_Nov-Mar,80,Commercial/Specialty
Honduras,Central_America,7,480000,Caturra/Catuai/Typica,Copan/Montecillos/Agalta,Nov-Apr,92,Commercial/Specialty
Peru,South_America,9,270000,Typica/Caturra/Bourbon,Cajamarca/Cusco/Puno,Apr-Sep,98,Specialty
Nicaragua,Central_America,12,150000,Caturra/Bourbon/Maragogipe,Jinotega/Matagalpa/Nueva_Segovia,Nov-Mar,95,Specialty
Rwanda,Africa,19,18000,Bourbon/Catuai,Western_Province/Northern_Province,Mar-Jul,99,Specialty
Tanzania,Africa,17,48000,Bourbon/Kent/Nyara,Kilimanjaro/Arusha/Mbeya,Jul-Dec,70,Specialty
India,Asia,7,319500,Robusta/Arabica,Karnataka/Kerala/Tamil_Nadu,Nov-Feb,65,Commercial
Mexico,North_America,11,234000,Bourbon/Typica/Caturra,Chiapas/Veracruz/Oaxaca,Nov-Mar,60,Commercial/Specialty
El_Salvador,Central_America,18,46200,Bourbon/Pacas,Santa_Ana/Ahuachapan/La_Libertad,Nov-Mar,90,Specialty
Papua_New_Guinea,Oceania,16,48200,Arusha/Typica/Bourbon,Eastern_Highlands/Western_Highlands,Apr-Sep,95,Specialty
